id,school_id_k,tch_id_k,cltype_k,cltype_1,actual_size_k,in_STAR_k,in_STAR_1,in_STAR_2,in_STAR_3,gender,race,age_in_1985,tch_gender,tch_race,tch_degree,tch_exp,gktreadss,gktmathss,gkwordskillss,std_read_score_k,std_math_score_k,std_word_score_k,pctile_math_k,pctile_read_k,pctile_word_k,freelunch_k
10000,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","YES","MALE","WHITE",6.613698,,,,,,,,,,,,,,
10001,169229,16922904,"REGULAR + AIDE CLASS",,24,"YES","NO","NO","NO","MALE","WHITE",5.534246,"FEMALE","BLACK","BACHELORS",5,,,,,,,,,,0
10002,,,,,,"NO","NO","NO","YES","FEMALE","BLACK",6.120548,,,,,,,,,,,,,,
10003,,,,"REGULAR CLASS",,"NO","YES","YES","YES","MALE","WHITE",5.265753,,,,,,,,,,,,,,
10004,,,,,,"NO","NO","YES","YES","FEMALE","BLACK",5.668493,,,,,,,,,,,,,,
10005,,,,,,"NO","NO","YES","YES","MALE","BLACK",5.671233,,,,,,,,,,,,,,
10006,,,,,,"NO","NO","YES","NO","FEMALE","BLACK",6.575343,,,,,,,,,,,,,,
10007,,,,,,"NO","NO","NO","YES","MALE","BLACK",5.468493,,,,,,,,,,,,,,
10008,,,,"REGULAR CLASS",,"NO","YES","YES","NO","FEMALE","BLACK",6.364384,,,,,,,,,,,,,,
10009,,,,,,"NO","NO","NO","YES","FEMALE","BLACK",5.358904,,,,,,,,,,,,,,
10010,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","YES","MALE","BLACK",5.347945,,,,,,,,,,,,,,
10011,,,,"REGULAR + AIDE CLASS",,"NO","YES","NO","NO","FEMALE","BLACK",7.254795,,,,,,,,,,,,,,
10012,,,,,,"NO","NO","YES","NO","MALE","BLACK",6.665753,,,,,,,,,,,,,,
10013,,,,,,"NO","NO","YES","YES","MALE","BLACK",7.027397,,,,,,,,,,,,,,
10014,,,,,,"NO","NO","YES","YES","FEMALE","BLACK",5.156164,,,,,,,,,,,,,,
10015,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","NO","FEMALE","BLACK",5.021918,,,,,,,,,,,,,,
10016,,,,,,"NO","NO","NO","YES","FEMALE","WHITE",5.476712,,,,,,,,,,,,,,
10017,,,,,,"NO","NO","YES","NO","FEMALE","WHITE",5.106849,,,,,,,,,,,,,,
10018,,,,,,"NO","NO","NO","YES","MALE","WHITE",6.167123,,,,,,,,,,,,,,
10019,,,,,,"NO","NO","NO","YES","FEMALE","BLACK",5.882192,,,,,,,,,,,,,,
10020,,,,,,"NO","NO","YES","NO","FEMALE","BLACK",5.728767,,,,,,,,,,,,,,
10021,,,,,,"NO","NO","NO","YES","MALE","BLACK",5.961644,,,,,,,,,,,,,,
10022,,,,"SMALL CLASS",,"NO","YES","YES","YES","FEMALE","BLACK",4.849315,,,,,,,,,,,,,,
10023,,,,,,"NO","NO","NO","YES","MALE","WHITE",6.126028,,,,,,,,,,,,,,
10024,,,,,,"NO","NO","YES","NO","MALE","BLACK",6.257534,,,,,,,,,,,,,,
10025,,,,,,"NO","NO","YES","NO","FEMALE","WHITE",6.027397,,,,,,,,,,,,,,
10026,,,,"SMALL CLASS",,"NO","YES","NO","NO","FEMALE","WHITE",6.632877,,,,,,,,,,,,,,
10027,,,,,,"NO","NO","NO","YES","MALE","WHITE",5.920548,,,,,,,,,,,,,,
10028,,,,,,"NO","NO","NO","YES","MALE","BLACK",8.20274,,,,,,,,,,,,,,
10029,,,,,,"NO","NO","NO","YES","MALE","BLACK",5.273973,,,,,,,,,,,,,,
10030,,,,,,"NO","NO","NO","YES","MALE","BLACK",6.082192,,,,,,,,,,,,,,
10031,,,,,,"NO","NO","NO","YES","MALE","BLACK",5.336986,,,,,,,,,,,,,,
10032,,,,"REGULAR CLASS",,"NO","YES","YES","YES","MALE","BLACK",6.536986,,,,,,,,,,,,,,
10033,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","YES","MALE","WHITE",5.493151,,,,,,,,,,,,,,
10034,,,,,,"NO","NO","YES","YES","MALE","WHITE",6.216438,,,,,,,,,,,,,,
10035,,,,,,"NO","NO","YES","NO",,,5.671233,,,,,,,,,,,,,,
10036,,,,,,"NO","NO","NO","YES","FEMALE","BLACK",,,,,,,,,,,,,,,
10037,,,,,,"NO","NO","YES","NO","MALE",,5.224658,,,,,,,,,,,,,,
10038,,,,,,"NO","NO","NO","YES","MALE","BLACK",6.323287,,,,,,,,,,,,,,
10039,,,,"REGULAR CLASS",,"NO","YES","YES","YES","FEMALE","WHITE",5.808219,,,,,,,,,,,,,,
10040,,,,,,"NO","NO","YES","YES","FEMALE","WHITE",5.942466,,,,,,,,,,,,,,
10041,,,,"REGULAR CLASS",,"NO","YES","NO","NO","FEMALE","WHITE",5.780822,,,,,,,,,,,,,,
10042,,,,"REGULAR CLASS",,"NO","YES","YES","YES","FEMALE","WHITE",6.150685,,,,,,,,,,,,,,
10043,,,,"SMALL CLASS",,"NO","YES","YES","NO","FEMALE","WHITE",6.109589,,,,,,,,,,,,,,
10044,,,,,,"NO","NO","YES","NO","MALE","WHITE",5.832877,,,,,,,,,,,,,,
10045,,,,"SMALL CLASS",,"NO","YES","NO","NO","MALE","WHITE",4.945206,,,,,,,,,,,,,,
10046,,,,,,"NO","NO","NO","YES","MALE","WHITE",5.786301,,,,,,,,,,,,,,
10047,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","NO","MALE","BLACK",5.580822,,,,,,,,,,,,,,
10048,,,,,,"NO","NO","YES","NO","MALE",,5.172603,,,,,,,,,,,,,,
10049,,,,"REGULAR + AIDE CLASS",,"NO","YES","NO","NO","FEMALE","WHITE",5.117808,,,,,,,,,,,,,,
10050,,,,,,"NO","NO","NO","YES","MALE","WHITE",5.29589,,,,,,,,,,,,,,
10051,,,,"SMALL CLASS",,"NO","YES","NO","NO","MALE","BLACK",5.369863,,,,,,,,,,,,,,
10052,,,,,,"NO","NO","NO","YES","MALE","BLACK",5.654795,,,,,,,,,,,,,,
10053,,,,"REGULAR CLASS",,"NO","YES","YES","NO","MALE","BLACK",5.890411,,,,,,,,,,,,,,
10054,,,,"REGULAR + AIDE CLASS",,"NO","YES","NO","NO","MALE","HISPANIC",5.756165,,,,,,,,,,,,,,
10055,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","YES","FEMALE","WHITE",5.750685,,,,,,,,,,,,,,
10056,,,,,,"NO","NO","YES","YES","FEMALE","WHITE",5.495891,,,,,,,,,,,,,,
10057,,,,"REGULAR CLASS",,"NO","YES","NO","NO","MALE","WHITE",5.252055,,,,,,,,,,,,,,
10058,,,,,,"NO","NO","NO","YES","MALE","WHITE",6.939726,,,,,,,,,,,,,,
10059,,,,"REGULAR + AIDE CLASS",,"NO","YES","NO","NO","MALE","WHITE",5.378082,,,,,,,,,,,,,,
10060,,,,"REGULAR + AIDE CLASS",,"NO","YES","NO","NO","MALE","WHITE",5.378082,,,,,,,,,,,,,,
10061,,,,,,"NO","NO","YES","YES","MALE","BLACK",7.260274,,,,,,,,,,,,,,
10062,,,,,,"NO","NO","NO","YES","FEMALE","BLACK",4.934247,,,,,,,,,,,,,,
10063,,,,,,"NO","NO","YES","YES","MALE","BLACK",6.309589,,,,,,,,,,,,,,
10064,,,,,,"NO","NO","YES","YES","FEMALE","BLACK",6.120548,,,,,,,,,,,,,,
10065,,,,,,"NO","NO","YES","NO","FEMALE","WHITE",5.323287,,,,,,,,,,,,,,
10066,,,,,,"NO","NO","NO","YES","MALE","WHITE",6.30411,,,,,,,,,,,,,,
10067,,,,,,"NO","NO","NO","YES","MALE","WHITE",6.063014,,,,,,,,,,,,,,
10068,,,,,,"NO","NO","NO","YES","MALE","WHITE",6.463014,,,,,,,,,,,,,,
10069,,,,,,"NO","NO","YES","YES","FEMALE","BLACK",6.049315,,,,,,,,,,,,,,
10070,,,,"REGULAR + AIDE CLASS",,"NO","YES","NO","NO","MALE","BLACK",5.99726,,,,,,,,,,,,,,
10071,,,,"REGULAR CLASS",,"NO","YES","NO","NO","FEMALE","BLACK",5.013699,,,,,,,,,,,,,,
10072,,,,,,"NO","NO","YES","YES","FEMALE","BLACK",5.008219,,,,,,,,,,,,,,
10073,,,,,,"NO","NO","NO","YES","FEMALE","BLACK",6.958904,,,,,,,,,,,,,,
10074,,,,"REGULAR CLASS",,"NO","YES","NO","NO","MALE","BLACK",5.926027,,,,,,,,,,,,,,
10075,,,,,,"NO","NO","NO","YES","MALE","BLACK",5.849315,,,,,,,,,,,,,,
10076,,,,,,"NO","NO","YES","NO","MALE",,6.838356,,,,,,,,,,,,,,
10077,,,,,,"NO","NO","YES","NO","FEMALE","BLACK",5.769863,,,,,,,,,,,,,,
10078,,,,,,"NO","NO","YES","YES","MALE","BLACK",5.742466,,,,,,,,,,,,,,
10079,,,,,,"NO","NO","NO","YES","MALE","BLACK",6.523288,,,,,,,,,,,,,,
10080,,,,,,"NO","NO","NO","YES","FEMALE","BLACK",5.29863,,,,,,,,,,,,,,
10081,,,,,,"NO","NO","YES","NO","FEMALE",,4.835617,,,,,,,,,,,,,,
10082,,,,,,"NO","NO","NO","YES","MALE","WHITE",5.312329,,,,,,,,,,,,,,
10083,,,,,,"NO","NO","YES","NO","MALE",,5.506849,,,,,,,,,,,,,,
10084,,,,,,"NO","NO","YES","NO","MALE","WHITE",6.224658,,,,,,,,,,,,,,
10085,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","YES","MALE","BLACK",7.693151,,,,,,,,,,,,,,
10086,,,,,,"NO","NO","YES","YES","MALE","BLACK",6.087671,,,,,,,,,,,,,,
10087,,,,,,"NO","NO","YES","NO","MALE",,4.753425,,,,,,,,,,,,,,
10088,,,,,,"NO","NO","NO","YES","MALE","WHITE",5.972603,,,,,,,,,,,,,,
10089,,,,,,"NO","NO","YES","YES","FEMALE","BLACK",5.161644,,,,,,,,,,,,,,
10090,,,,,,"NO","NO","YES","YES","FEMALE","BLACK",6.153425,,,,,,,,,,,,,,
10091,,,,,,"NO","NO","YES","NO","MALE","WHITE",7.041096,,,,,,,,,,,,,,
10092,,,,"REGULAR CLASS",,"NO","YES","YES","YES","FEMALE","WHITE",6.775342,,,,,,,,,,,,,,
10093,,,,,,"NO","NO","YES","YES","MALE","BLACK",6.326027,,,,,,,,,,,,,,
10094,,,,,,"NO","NO","NO","YES","MALE","BLACK",5.967124,,,,,,,,,,,,,,
10095,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","NO","FEMALE","BLACK",6.383562,,,,,,,,,,,,,,
10096,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","YES","FEMALE","WHITE",6.29589,,,,,,,,,,,,,,
10097,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","YES","MALE","WHITE",6.093151,,,,,,,,,,,,,,
10098,,,,"SMALL CLASS",,"NO","YES","YES","YES","MALE","WHITE",6.238356,,,,,,,,,,,,,,
10099,,,,,,"NO","NO","NO","YES","MALE","WHITE",5.928767,,,,,,,,,,,,,,
10100,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","YES","FEMALE","WHITE",5.632877,,,,,,,,,,,,,,
10101,,,,,,"NO","NO","NO","YES","FEMALE","WHITE",5.660274,,,,,,,,,,,,,,
10102,,,,,,"NO","NO","NO","YES","FEMALE","BLACK",5.528767,,,,,,,,,,,,,,
10103,,,,,,"NO","NO","YES","YES","MALE","WHITE",5.383562,,,,,,,,,,,,,,
10104,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","YES","FEMALE","WHITE",5.320548,,,,,,,,,,,,,,
10105,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","YES","FEMALE","WHITE",5.254795,,,,,,,,,,,,,,
10106,,,,"SMALL CLASS",,"NO","YES","NO","NO","MALE","WHITE",5.073973,,,,,,,,,,,,,,
10107,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","NO","MALE","WHITE",4.975342,,,,,,,,,,,,,,
10108,,,,"REGULAR CLASS",,"NO","YES","YES","YES","MALE","WHITE",4.931507,,,,,,,,,,,,,,
10109,,,,,,"NO","NO","NO","YES","FEMALE","WHITE",5.221918,,,,,,,,,,,,,,
10110,,,,,,"NO","NO","NO","YES","FEMALE","WHITE",5.958904,,,,,,,,,,,,,,
10111,,,,,,"NO","NO","YES","YES","FEMALE","WHITE",5.389041,,,,,,,,,,,,,,
10112,,,,,,"NO","NO","YES","NO","MALE","WHITE",7.186301,,,,,,,,,,,,,,
10113,,,,,,"NO","NO","YES","YES","MALE","WHITE",5.641096,,,,,,,,,,,,,,
10114,,,,"SMALL CLASS",,"NO","YES","NO","NO","MALE","WHITE",5.687671,,,,,,,,,,,,,,
10115,,,,,,"NO","NO","YES","NO","MALE","BLACK",5.758904,,,,,,,,,,,,,,
10116,,,,,,"NO","NO","NO","YES","MALE","WHITE",5.821918,,,,,,,,,,,,,,
10117,,,,,,"NO","NO","YES","YES","MALE","WHITE",7.306849,,,,,,,,,,,,,,
10118,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","YES","MALE","WHITE",5.99726,,,,,,,,,,,,,,
10119,,,,"REGULAR CLASS",,"NO","YES","NO","NO","MALE","WHITE",6.186301,,,,,,,,,,,,,,
10120,,,,,,"NO","NO","YES","NO","MALE","WHITE",6.232877,,,,,,,,,,,,,,
10121,,,,,,"NO","NO","YES","YES","FEMALE","WHITE",5.147945,,,,,,,,,,,,,,
10122,,,,,,"NO","NO","YES","NO","MALE","BLACK",6.142466,,,,,,,,,,,,,,
10123,,,,"REGULAR CLASS",,"NO","YES","YES","YES","FEMALE","OTHER",5.4,,,,,,,,,,,,,,
10124,,,,,,"NO","NO","YES","YES","MALE","WHITE",6.268493,,,,,,,,,,,,,,
10125,,,,,,"NO","NO","NO","YES","FEMALE","WHITE",5.767123,,,,,,,,,,,,,,
10126,,,,,,"NO","NO","YES","NO","MALE","BLACK",5.906849,,,,,,,,,,,,,,
10127,,,,,,"NO","NO","NO","YES","MALE","WHITE",5.890411,,,,,,,,,,,,,,
10128,,,,,,"NO","NO","YES","YES","MALE","BLACK",5.854795,,,,,,,,,,,,,,
10129,,,,,,"NO","NO","YES","YES","FEMALE","WHITE",4.841096,,,,,,,,,,,,,,
10130,,,,"REGULAR CLASS",,"NO","YES","YES","YES","MALE","WHITE",5.479452,,,,,,,,,,,,,,
10131,,,,,,"NO","NO","YES","YES","FEMALE","WHITE",5.652055,,,,,,,,,,,,,,
10132,,,,"SMALL CLASS",,"NO","YES","NO","NO","FEMALE","BLACK",6.663014,,,,,,,,,,,,,,
10133,169280,16928003,"REGULAR + AIDE CLASS","REGULAR + AIDE CLASS",22,"YES","YES","YES","YES","MALE","BLACK",5.452055,"FEMALE","WHITE","BACHELORS",7,427,478,418,-.2589328,-.1069593,-.3985941,46,41,37,0
10134,,,,,,"NO","NO","NO","YES","FEMALE","BLACK",7.438356,,,,,,,,,,,,,,
10135,,,,,,"NO","NO","YES","NO","FEMALE","BLACK",5.49863,,,,,,,,,,,,,,
10136,,,,"REGULAR CLASS",,"NO","YES","YES","NO","MALE","WHITE",6.487671,,,,,,,,,,,,,,
10137,,,,,,"NO","NO","NO","YES","MALE","BLACK",6.254795,,,,,,,,,,,,,,
10138,,,,,,"NO","NO","NO","YES","MALE","BLACK",7.463014,,,,,,,,,,,,,,
10139,,,,,,"NO","NO","YES","YES","MALE","BLACK",5.69589,,,,,,,,,,,,,,
10140,,,,"SMALL CLASS",,"NO","YES","YES","YES","MALE","BLACK",5.517808,,,,,,,,,,,,,,
10141,,,,,,"NO","NO","YES","NO","MALE","WHITE",7.249315,,,,,,,,,,,,,,
10142,,,,,,"NO","NO","YES","YES","FEMALE","BLACK",5.038356,,,,,,,,,,,,,,
10143,,,,,,"NO","NO","NO","YES","FEMALE","WHITE",6.59726,,,,,,,,,,,,,,
10144,,,,,,"NO","NO","YES","YES","MALE","BLACK",6.323287,,,,,,,,,,,,,,
10145,,,,"SMALL CLASS",,"NO","YES","YES","YES","FEMALE","WHITE",4.786301,,,,,,,,,,,,,,
10146,,,,"REGULAR CLASS",,"NO","YES","YES","NO","MALE","WHITE",6.024658,,,,,,,,,,,,,,
10147,,,,,,"NO","NO","YES","YES","FEMALE","BLACK",6.153425,,,,,,,,,,,,,,
10148,,,,,,"NO","NO","NO","YES","FEMALE","WHITE",4.904109,,,,,,,,,,,,,,
10149,,,,,,"NO","NO","YES","NO","FEMALE",,5.00274,,,,,,,,,,,,,,
10150,,,,,,"NO","NO","NO","YES","FEMALE","ASIAN",5.446575,,,,,,,,,,,,,,
10151,,,,,,"NO","NO","NO","YES","MALE","BLACK",5.260274,,,,,,,,,,,,,,
10152,,,,"REGULAR CLASS",,"NO","YES","NO","NO","MALE","WHITE",,,,,,,,,,,,,,,
